Mandant,Parkareal-ID,Parkfläche,Parkeinheit,B2B Partner ID (Spedition),B2B Partner (Spedition),Zutrittsmedium,Kundengruppe,Unnamed: 0,ParkingAreaID,ParkingName,Address,City,Unnamed: 5,Unnamed: 6,Unnamed: 7,merge_key,Name,Adress,City_koords,CountryCode,Longitude,Latitude,100 kW to 250 kW,24/7,Accomodation,App Parking,B2C Prohibited,Bosch partner network,CCS2,CCTV ,Certified,Charging card,Credit card,Dangerous Goods Allowed,De-Minimis,Decoupling of Trailers,Diesel,Electricity Charging,Electricity Supply for Frigo,Extra Long Truck Allowed,Fence,Flow Parking,Forward entry ,Forward exit ,Frigo allowed,Gate,Guard personal (24 hours) or Control Center,Has Realtime Data,Hydrogen,Internetlink,Less than 100 kW,Licence plate,Lighting,Liquefied Natural Gas,MCS,Mobile Ticket Payment,More than 250 kW,Occupancy information,On the go,Parking Fee,Personal access control,Petrol station,PIN,QR-Code,Reception parking,Reservable,Restaurant/ Shop,Restricted vehicle access,Restroom,Shower,Truck only,Truck repair,Truck wash,Vending Machines,Wifi,Detail Link,TariffGross,TariffNet,Silver,Gold,Provider,PreBooking URL,Raw Feature IDs
Travis Extern IT,5656,Truck Parking - INDUSTRIA ALIMENTARE BERGOMI di Bergomi A...,Truck Parking - INDUSTRIA ALIMENTARE BERGOMI di Bergomi A...,2808.0,UAB Transrapidus Plius ,NYV012,B2B,,5656.0,	Truck Parking - INDUSTRIA ALIMENTARE BERGOMI di Bergomi A…,Via Santhià 34,Cavaglià,13881,IT,Travis,via santhià 34 cavaglià,Truck Parking - INDUSTRIA ALIMENTARE BERGOMI di Bergomi A...,Via Santhià 34,Cavaglià,IT,8.12066293,45.39423713,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5656&locale=en,12h: 15.00€    24h: 20.00€    48h: 40.00€    9h: 12.00€    ,12h: 15.00€    24h: 20.00€    48h: 40.00€    9h: 12.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=5655,"1007, 1011, 1101, 1017, 1019, 1012, 1302, 1020, 1005, 1014"
Travis Extern IT,5852,TruckPoint Cornaredo,TruckPoint Cornaredo,11154.0,Merena Sp. z o.o. ,DPL47552,B2B,,5852.0,Cornaredo Carburanti,Via Merendi 51,Cornaredo,20010,IT,Travis,via merendi 51 cornaredo,TruckPoint Cornaredo,Via Merendi 51,Cornaredo,IT,9.03627944,45.47868303,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5641&locale=en,12h: 18.00€    24h: 32.00€    ,12h: 18.00€    24h: 32.00€    ,no,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=5851,"1007, 1011, 1101, 1017, 1019, 1302, 1020, 1005, 1014, 1003"
Travis Extern NL,2480,ITC Holland Transport B.V.,ITC Holland Transport B.V.,12156.0,STI Deutschland GmbH ,BWY8689DUFM629,B2B,,2480.0,ITC Holland Transport B.V.,Vorstengrafdonk 71,Oss,5342 LW,NL,Travis,vorstengrafdonk 71 oss,ITC Holland Transport B.V.,Vorstengrafdonk 71,Oss,NL,5.56035087,51.73511866,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5079&locale=en,12h: 17.50€    24h: 25.00€    ,12h: 17.50€    24h: 25.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2479,"1004, 1007, 1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern NL,3506,Truckstop Venlo,Truckstop Venlo,853.0,NV Schenker,PZ855VT,B2B,,3506.0,Truckstop Venlo,James Cookweg 31,Venlo,5928 LJ,NL,Travis,james cookweg 31 venlo,Truckstop Venlo,James Cookweg 31,Venlo,NL,6.10355552,51.39088612,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5522&locale=en,24h: 14.46€    48h: 28.93€    72h: 43.39€    ,24h: 14.46€    48h: 28.93€    72h: 43.39€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3505,"1007, 1011, 1101, 1017, 1019, 1012, 1302, 1020, 1005, 1014, 1003"
Travis Extern NL,3428,TRUCCOTEL Emmen,TRUCCOTEL Emmen,2053.0,VANDIJCK TRANSPORT BV,2CRX103,B2B,,3428.0,TRUCCOTEL Emmen,Edisonstraat 2,Emmen,7825 GS,NL,Travis,edisonstraat 2 emmen,TRUCCOTEL Emmen,Edisonstraat 2,Emmen,NL,6.96397974,52.74179314,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5496&locale=en,12h: 19.70€    24h: 24.00€    48h: 39.40€    72h: 48.00€    ,12h: 19.70€    24h: 24.00€    48h: 39.40€    72h: 48.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3427,"1015, 1004, 1007, 1011, 1025, 1101, 1017, 1012, 1302, 1020, 1013, 1005, 1014, 1016, 1003"
Travis Extern NL,2140,Tullemans Truck Parking Services Weert,Tullemans Truck Parking Services Weert,352.0,KAWCZYŃSKI LOGISTICS SP. Z O.O.,CNA27546,B2B,,2140.0,Tullemans Truck Parking Services Weert,Edisonlaan 2,Weert,6003 DB,NL,Travis,edisonlaan 2 weert,Tullemans Truck Parking Services Weert,Edisonlaan 2,Weert,NL,5.72227,51.2672997,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5074&locale=en,1h: 12.00€    24h: 23.55€    48h: 47.10€    72h: 70.65€    ,1h: 12.00€    24h: 23.55€    48h: 47.10€    72h: 70.65€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2139,"1007, 1101, 1017, 1012, 1302, 1020, 1006, 1005, 1014"
Travis Extern NL,2544,Truckstop JZ transport,Truckstop JZ transport,3614.0,Silver Express Sp z o.o. ,ELE9HJ3,B2B,,2544.0,Truckstop JZ transport,Verbindingsweg 22A,Bedum,9781DA,NL,Travis,verbindingsweg 22a bedum,Truckstop JZ transport,Verbindingsweg 22A,Bedum,NL,6.59537292,53.29249553,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5213&locale=en,12h: 33.50€    24h: 60.00€    48h: 80.00€    9h: 30.50€    72h: 89.00€    ,12h: 33.50€    24h: 60.00€    48h: 80.00€    9h: 30.50€    72h: 89.00€    ,no,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2543,"1007, 1101, 1017, 1302, 1020, 1005, 1014"
Travis Extern NL,2920,Wemmers Truckparking Zaandam,Wemmers Truckparking Zaandam,3614.0,Silver Express Sp z o.o. ,ELE9HJ3,B2B,,2920.0,Wemmers Truckparking Zaandam,Sluispolderweg 53B,Zaandam,1505 HJ,NL,Travis,sluispolderweg 53b zaandam,Wemmers Truckparking Zaandam,Sluispolderweg 53B,Zaandam,NL,4.85219824,52.41849277,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5363&locale=en,12h: 15.00€    24h: 20.00€    48h: 35.00€    72h: 55.00€    ,12h: 15.00€    24h: 20.00€    48h: 35.00€    72h: 55.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2919,"1101, 1017, 1012, 1302, 1020, 1014"
Travis Extern NL,2652,A2 Truck Parking C,A2 Truck Parking C,4133.0,Panda Logistics sp. z o.o. ,BI276JA,B2B,,2652.0,A2 Truck Parking C,Oude Lakerweg 2,Echt,6101 AA,NL,Travis,oude lakerweg 2 echt,A2 Truck Parking C,Oude Lakerweg 2,Echt,NL,5.852783,51.106681,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4994&locale=en,24h: 27.50€    48h: 45.00€    72h: 52.50€    ,24h: 27.50€    48h: 45.00€    72h: 52.50€    ,no,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2651,"1007, 1101, 1012, 1014"
Travis Extern NL,2344,NoRisk Parking B.V.,NoRisk Parking B.V.,3209.0,K és V Nemzetközi Fuvarozó Kft. ,AAJZ664,B2B,,2344.0,NoRisk Parking B.V.,Ambachtsweg 41,Pijnacker,2641 KT,NL,Travis,ambachtsweg 41 pijnacker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Extern PL,3024,LUZ Bus & Truck Service,LUZ Bus & Truck Service,4099.0,Krimar Sped s.r.o,NR053KXAA200YO,B2B,,3024.0,LUZ Bus & Truck Service,Firmowa 1A,Opole,45-594,PL,Travis,firmowa 1a opole,LUZ Bus & Truck Service,Firmowa 1A,Opole,PL,17.97149157,50.65124168,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5443&locale=en,12h: 5.00€    24h: 10.00€    48h: 15.00€    9h: 5.00€    72h: 25.00€    ,12h: 5.00€    24h: 10.00€    48h: 15.00€    9h: 5.00€    72h: 25.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3023,"1101, 1017, 1012, 1302, 1020, 1014"
Travis Extern PL,2754,Port 2000 Mostki,Port 2000 Mostki,4151.0,TRANS EURO EXPRESS 94 SRL ,B860EEX,B2B,,2754.0,Port 2000 Mostki,Mostki przy ,Lubrza,66-218,PL,Travis,mostki przy lubrza,Port 2000 Mostki,Mostki przy ,Lubrza,PL,15.38079106,52.27036809,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5327&locale=en,12h: 10.00€    1h: 5.00€    24h: 12.00€    48h: 20.00€    9h: 10.00€    72h: 30.00€    ,12h: 10.00€    1h: 5.00€    24h: 12.00€    48h: 20.00€    9h: 10.00€    72h: 30.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2753,"1007, 1011, 1101, 1017, 1019, 1012, 1302, 1020, 1006, 1005, 1014, 1003"
Travis Extern PL,4652,Parking TIR Kórnik,Parking TIR Kórnik,4375.0, 	dls GmbH ,WGM4629H,B2B,,4652.0,Parking TIR Kórnik,Katowicka 43,KÓRNIK,62-035,PL,Travis,katowicka 43 kórnik,Parking TIR Kórnik,Katowicka 43,KÓRNIK,PL,17.1102051,52.2493761,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5621&locale=en,1h: 1.00€    24h: 8.00€    ,1h: 1.00€    24h: 8.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=4651,"1011, 1101, 1017, 1019, 1012, 1302, 1020, 1005, 1014"
Travis Extern PL,2454,Citronex  Parking Słowiańska,Citronex  Parking Słowiańska,1304.0,Lorenc Logistic Polska Sp. z o.o.,PZ2W485,B2B,,2454.0,Citronex  Parking Słowiańska,Słowiańska 13,Zgorzelec,59-900,PL,Travis,słowiańska 13 zgorzelec,Citronex  Parking Słowiańska,Słowiańska 13,Zgorzelec,PL,15.02624055,51.16666833,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5098&locale=en,12h: 11.70€    24h: 13.60€    ,12h: 11.70€    24h: 13.60€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2453,"1007, 1101, 1017, 1019, 1012, 1302, 1020, 1005, 1014"
Travis Extern PL,7602,Parking TIR Marklowicka,Parking TIR Marklowicka,3895.0,RMSPED SP. z o.o. ,RZ4365W,B2B,,7602.0,Parking TIR Marklowicka,Marklowicka 47,Wodzisław Śląski,44-300,PL,Travis,marklowicka 47 wodzisław śląski,ST TRUCK Marklowicka,Marklowicka 47,Wodzisław Śląski,PL,18.49332194,50.01546745,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5120&locale=en,24h: 25.00€    ,24h: 25.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2075,"1101, 1017, 1019, 1012, 1014"
Travis Extern PL,3026,ROTRANS Myjnia Parking TIR,ROTRANS Myjnia Parking TIR,971.0,Hütter Spedition und Logistik GmbH,ÖHRHT48,B2B,,3026.0,ROTRANS Parking TIR,Graficzna 17,Wyszków,07-200,PL,Travis,graficzna 17 wyszków,ROTRANS Myjnia Parking TIR,Graficzna 17,Wyszków,PL,21.43006223,52.60890277,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5417&locale=en,1h: 1.50€    12h: 12.00€    24h: 14.00€    48h: 27.00€    72h: 40.00€    ,1h: 1.50€    12h: 12.00€    24h: 14.00€    48h: 27.00€    72h: 40.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3025,"1101, 1017, 1019, 1012, 1302, 1020, 1006, 1005, 1014"
Travis Extern PL,7452,Dźwigi Konin Zielińska Parking,Dźwigi Konin Zielińska Parking,3325.0,Emerlog Sp. z o.o.,LB86826LBI94302,B2B,,7452.0,Dźwigi Konin Zielińska Parking,Europejska 83,Konin,62-500,PL,Travis,europejska 83 konin,Dźwigi Konin Zielińska Parking,Europejska 83,Konin,PL,18.24439477,52.18756538,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5695&locale=en,24h: 9.00€    ,24h: 9.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=7451,"1007, 1011, 1101, 1017, 1019, 1012, 1302, 1020, 1005, 1014"
Travis Extern PL,2324,ATF Słubice,ATF Słubice,4375.0, 	dls GmbH ,TSK50201,B2B,,2324.0,ATF Słubice,Oś. Przemysłowe 10,Słubice,69-100,PL,Travis,oś. przemysłowe 10 słubice,ATF Słubice,Oś. Przemysłowe 10,Słubice,PL,14.616713,52.335094,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4988&locale=en,12h: 20.00€    1h: 10.00€    24h: 20.00€    48h: 30.00€    9h: 20.00€    72h: 55.00€    ,12h: 20.00€    1h: 10.00€    24h: 20.00€    48h: 30.00€    9h: 20.00€    72h: 55.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2323,"1004, 1011, 1101, 1017, 1019, 1012, 1302, 1020, 1013, 1014"
Travis Extern PL,2646,TIREST,TIREST,3472.0,Kis-Döme Kft,PRF170,B2B,,2646.0,TIREST,Kołbielska 32,Grębiszew,05-300,PL,Travis,kołbielska 32 grębiszew,TIREST,Kołbielska 32,Grębiszew,PL,21.49930408,52.12333063,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5115&locale=en,24h: 5.00€    ,24h: 5.00€    ,no,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2645,"1007, 1101, 1017, 1019, 1302, 1020, 1005, 1014"
Travis Extern PL,2256,ATF Klaudyn,ATF Klaudyn,1626.0,Milsped transport in Logistika d.o.o.,LJ23VHG,B2B,,2256.0,ATF Klaudyn,Estrady 5,Klaudyn,05-080,PL,Travis,estrady 5 klaudyn,ATF Klaudyn,Estrady 5,Klaudyn,PL,20.87474927,52.27723085,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5000&locale=en,12h: 12.00€    24h: 15.00€    48h: 30.00€    9h: 12.00€    72h: 45.00€    ,12h: 12.00€    24h: 15.00€    48h: 30.00€    9h: 12.00€    72h: 45.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2255,"1004, 1011, 1101, 1017, 1019, 1012, 1302, 1020, 1013, 1014"
Travis Extern PL,2276,STT Service Truck & Trailer SP. z o.o.,STT Service Truck & Trailer SP. z o.o.,1104.0,Milsped d.o.o. Beograd,BG2710VG,B2B,,2276.0,STT Service Truck & Trailer SP. z o.o.,Strzemieszycja 20,Sławków,41-260,PL,Travis,strzemieszycja 20 sławków,STT Service Truck & Trailer SP. z o.o.,Strzemieszycja 20,Sławków,PL,19.3389905,50.30559485,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5056&locale=en,24h: 20.00€    48h: 40.00€    ,24h: 20.00€    48h: 40.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2275,"1007, 1101, 1017, 1019, 1012, 1302, 1020, 1005, 1014, 1003"
Travis Extern PL,3518,Taskan Parking Okmiany,Taskan Parking Okmiany,305.0,LOG-IN CZ s.r.o.,6E97672,B2B,,3518.0,Taskan Parking Okmiany,Szwedzka 1C,Okmiany,59-227,PL,Travis,szwedzka 1c okmiany,Taskan Parking Okmiany,Szwedzka 1C,Okmiany,PL,15.784199,51.276323,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5527&locale=en,1h: 1.50€    12h: 10.00€    24h: 12.00€    48h: 24.00€    72h: 36.00€    ,1h: 1.50€    12h: 10.00€    24h: 12.00€    48h: 24.00€    72h: 36.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3517,"1007, 1011, 1101, 1017, 1019, 1012, 1302, 1020, 1006, 1005, 1014, 1003"
Travis Extern PL,2262,MAN Żerniki Parking,MAN Żerniki Parking,4375.0, 	dls GmbH ,WW927TC,B2B,,2262.0,MAN Żerniki Parking,"Żerniki, ul. Gutenberga 2",Kórnik,62-023,PL,Travis,"żerniki, ul. gutenberga 2 kórnik",MAN Żerniki Parking,"Żerniki, ul. Gutenberga 2",Kórnik,PL,17.02887858,52.32267525,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5085&locale=en,24h: 16.00€    ,24h: 16.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2261,"1004, 1011, 1025, 1101, 1017, 1012, 1302, 1020, 1014"
Travis Extern PL,4952,OMEGA Pilzno Towarowa Rzeszów,OMEGA Pilzno Towarowa Rzeszów,3472.0,Kis-Döme Kft,PRF170,B2B,,4952.0,OMEGA Pilzno Towarowa Rzeszów,Towarowa 12,Rzeszów,35-231,PL,Travis,towarowa 12 rzeszów,OMEGA Pilzno Towarowa Rzeszów,Towarowa 12,Rzeszów,PL,22.00122922,50.05294953,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5340&locale=en,12h: 8.00€    1h: 2.00€    24h: 12.00€    48h: 24.00€    9h: 6.00€    72h: 32.00€    ,12h: 8.00€    1h: 2.00€    24h: 12.00€    48h: 24.00€    9h: 6.00€    72h: 32.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2823,"1101, 1017, 1019, 1012, 1014"
Travis Extern PL,2924,HT Trucks & Parts (Hegelmann Hub),HT Trucks & Parts (Hegelmann Hub),352.0,KAWCZYŃSKI LOGISTICS SP. Z O.O.,GDA4869C,B2B,,2924.0,HT Trucks & Parts (Hegelmann Hub),Transportowa 1,Żarska Wieś,59-900,PL,Travis,transportowa 1 żarska wieś,HT Trucks & Parts (Hegelmann Hub),Transportowa 1,Żarska Wieś,PL,15.12558244,51.20483902,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5365&locale=en,24h: 14.00€    ,24h: 14.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2923,"1101, 1017, 1019, 1012, 1302, 1020, 1006, 1005, 1014, 1003"
Travis Extern PL,2714,Parking TIR Jędrzychowice,Parking TIR Jędrzychowice,4375.0, 	dls GmbH ,WGM5565H,B2B,,2714.0,Parking TIR Jędrzychowice,Jędrzychowice 98d,Zgorzelec,59-900,PL,Travis,jędrzychowice 98d zgorzelec,Parking TIR Jędrzychowice,Jędrzychowice 98d,Zgorzelec,PL,15.03151408,51.17566051,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5306&locale=en,12h: 9.00€    24h: 13.00€    48h: 25.00€    ,12h: 9.00€    24h: 13.00€    48h: 25.00€    ,no,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2713,"1007, 1101, 1017, 1302, 1020, 1006, 1005, 1014, 1003"
Travis Extern PL,2444,Citronex Parking Żarska Wieś High Secure,Citronex Parking Żarska Wieś High Secure,4133.0,Panda Logistics sp. z o.o. ,BI576GF,B2B,,2444.0,Citronex Parking Żarska Wieś High Secure,Zarska Wies 2C,Zgorzelec,59-900,PL,Travis,zarska wies 2c zgorzelec,Citronex Parking Żarska Wieś High Secure,Zarska Wies 2C,Zgorzelec,PL,15.12127719,51.20555682,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5178&locale=en,12h: 8.70€    24h: 17.30€    ,12h: 8.70€    24h: 17.30€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2443,"1101, 1017, 1019, 1012, 1302, 1020, 1014"
