parkplatz_id,latitude,longitude,nearest_station_id,nearest_station_dist_km,station_id,road_class,road_number,road_suffix,station_lat,station_lon
DE-HB-000008,53.121613,8.78448,2403,1.9200223226851891,2403,A,27,,53.13101277534206,8.760341409342889
DE-BY-000428,49.570675,12.121645,9901,5.420884663232045,9901,A,93,,49.52612820205573,12.152170972990794
DE-BW-006585,49.176365,9.796946,8168,13.600082355510562,8168,A,6,,49.17496344360656,9.98402331394874
DE-NI-330902,52.63528,7.19157,3359,12.81660615384793,3359,B,402,,52.72207572291896,7.066477858535163
DE-HE-300005,50.1694,8.292987,6850,2.2904296581953143,6850,A,3,,50.18226866398832,8.267873136236357
DE-NI-362801,52.338795,10.360472,3398,4.296491671783884,3398,B,214,,52.374843740762046,10.383246976752561
DE-NW-000237,51.487804,7.927873,5167,4.857289898563529,5167,A,445,,51.526493155899686,7.895288749106169
DE-BY-000471,48.22689,11.571342,9207,0.5080013317318985,9207,A,99,,48.22693209201499,11.564484468942583
DE-BY-000286,50.251686,11.031983,9235,9.591133282622204,9235,A,73,,50.16686763750761,11.007486882512282
DE-BY-000014,49.895927,9.394278,9991,0.35673023301539397,9991,A,3,,49.898638387096106,9.39161590445428
DE-BB-283902,53.19631,12.27579,3611,5.56572133743572,3611,A,24,,53.17052998837906,12.347385677257277
DE-NI-262504,53.37818,9.95964,3444,0.4379617248341038,3444,A,1,,53.37916596067605,9.966032497404068
DE-HE-700032,50.47285,9.712299,6878,0.32728628417252004,6878,A,7,,50.475770621447985,9.711725337736762
DE-NI-392901,52.038727,10.514837,3427,1.8520260171582448,3427,A,36,,52.054514668397026,10.506208647726508
DE-NW-000034,51.61943,7.689007,5145,2.8755767825466365,5145,A,2,,51.60379859174504,7.722182716869679
DE-MV-200005,53.85311,11.380285,1707,7.5608118974022505,1707,B,106,,53.791964176210676,11.43067191078012
DE-BY-000144,49.260353,10.547251,9751,2.6875020241258167,9751,A,6,,49.262812864060834,10.510408360846498
DE-NW-000008,52.19492,7.799072,5118,5.537589852095193,5118,A,1,,52.158330302427835,7.743981434673583
